airport;name;state
ABE;LEHIGH VALLEY INTL;PA
ABI;ABILENE REGIONAL;TX
ABQ;ALBUQUERQUE INTL SUNPORT;NM
ACK;NANTUCKET MEMORIAL;MA
ACV;ARCATA-EUREKA;CA
ACY;ATLANTIC CITY INTL;NJ
AGS;AUGUSTA REGIONAL;GA
ALB;ALBANY INTL;NY
ALW;WALLA WALLA REGIONAL;WA
AMA;RICK HUSBAND AMARILLO;TX
ASE;ASPEN-PITKIN COUNTY;CO
ATL;HARTSFIELD-JACKSON ATLANTA INTL;GA
ATW;OUTAGAMIE COUNTRY REGIONAL;WI
AUS;AUSTIN-BERGSTROM INTL;TX
AVL;ASHEVILLE REGIONAL;NC
AVP;WILKES-BARRE/SCRANTON INTL;PA
AZA;PHOENIX-MESA GATEWAY;AZ
AZO;KALAMAZOO/BATTLE CREEK INTL;MI
BDL;BRADLEY INTL;CT
BFL;MEADOWS FIELD;CA
BGR;BANGOR INTL;ME
BHC;BAXLEY MUNICIPAL;GA
BHM;BIRMINGHAM-SHUTTLESWORTH INTL;AL
BIL;BILLINGS LOGAN INTL;MT
BIS;BISMARCK MUNICIPAL;ND
BKG;BRANSON;MO
BLI;BELLINGHAM INTL;WA
BLV;SCOTT AIR FORCE BASE;IL
BMI;CENTRAL ILLINOIS REGIONAL;IL
BNA;NASHVILLE INTL;TN
BOI;BOISE;ID
BOS;LOGAN INTL;MA
BPT;JACK BROOKS REGIONAL;TX
BQK;BRUNSWICK GOLDEN ISLES;GA
BRO;BROWNSVILLE/SOUTH PADRE ISLAND INTL;TX
BTR;BATON ROUGE METROPOLITAN;LA
BTV;BURLINGTON INTL;VT
BUF;BUFFALO NIAGARA INTL;NY
BUR;BOB HOPE;CA
BWI;BALTIMORE/WASHINGTON INTL;MD
BZN;BOZEMAN YELLLOWSTONE INTL;MT
CAE;COLUMBIA METROPOLITAN;SC
CAK;AKRON-CANTON;OH
CEF;WESTOVER METROPOLITAN;MA
CHA;CHATTANOOGA METROPOLITAN;TN
CHO;CHARLOTTESVILLE-ALBERMARLE;VA
CHS;CHARLESTON INTL;SC
CID;THE EASTERN IOWA;IA
CLE;CLEVELAND HOPKINS INTL;OH
CLT;CHARLOTTE-DOUGLAS INTL;NC
CMH;PORT COLUMBUS INTL;OH
CMI;UNIVERSITY OF ILLINOIS WILLARD;IL
CNM;CAVERN CITY AIR TERMINAL;NM
COS;COLORADO SPRINGS;CO
COU;COLUMBIA REGIONAL;MO
CPR;CASPER-NATRONA COUNTY INTL;WY
CRP;CORPUS CHRISTI INTL;TX
CRW;YEAGER;WV
CVG;CINCINNATI/NORTHERN KENTUCKY INTL;OH
DAB;DAYTONA BEACH INTL;FL
DAL;DALLAS LOVE FIELD;TX
DAY;DAYTON INTL;OH
DCA;RONALD REAGAN WASHINGTON NATIONAL;VA
DEN;DENVER INTL;CO
DET;COLEMAN A. YOUNG INTL;MI
DFW;DALLAS/FORT WORTH INTL;TX
DLH;DULUTH INTL;MN
DRO;DURANGO-LA PLATA COUNTY;CO
DSM;DES MOINES INTL;IA
DTW;DETROIT METROPOLITAN WAYNE COUNTY;MI
EAT;PANGBORN MEMORIAL;WA
ECP;NORTHWEST FLORIDA BEACHES INTL;FL
EGE;EAGLE COUNTY REGIONAL;CO
EKO;ELKO REGIONAL;NV
ELM;ELMIRA CORNING REGIONAL;NY
ELP;EL PASO INTL;TX
EUG;EUGENE;OR
EVV;EVANSVILLE REGIONAL;IN
EWR;NEWARK LIBERTY INTL;NJ
EYW;KEY WEST INTL;FL
FAR;HECTOR INTL;ND
FAT;FRESNO YOSEMITE INTL;CA
FAY;FAYETTEVILLE REGIONAL;NC
FCA;GLACIER PARK INTL;MT
FLG;FLAGSTAFF PULLIAM;AZ
FLL;FORT LAUDERDALE-HOLLYWOOD INTL;FL
FMN;FOUR CORNERS REGIONAL;NM
FNL;FORT COLLINS-LOVELAND MUNICIPAL;CO
FNT;BISHOP INTL;MI
FOE;TOPEKA REGIONAL;KS
FSD;SIOUX FALLS REGIONAL;SD
FWA;FORT WAYNE INTL;IN
FYV;DRAKE FIELD;AR
GCN;GRAND CANYON NATIONAL PARK;AZ
GEG;SPOKANE INTL;WA
GFK;GRAND FORKS INTL;ND
GJT;GRAND JUNCTION REGIONAL;CO
GNV;GAINESVILLE REGIONAL;FL
GPT;GULFPORT-BILOXI INTL;MS
GRB;AUSTIN STRAUBEL INTL;WI
GRI;CENTRAL NEBRASKA REGIONAL;NE
GRK;KILLEEN-FORT HOOD REGIONAL;TX
GRR;GERALD R. FORD INTL;MI
GSO;PIEDMONT TRIAD INTL;NC
GSP;GREENVILLE-SPARTANBURG INTL;SC
GTF;GREAT FALLS INTL;MT
GUC;GUNNISON-CRESTED BUTTLE REGIONAL;CO
GYY;GARY/CHICAGO INTL;IN
HDN;YAMPA VALLEY;CO
HGR;HAGERSTOWN REGIONAL;MD
HOU;WILLIAM P. HOBBY;TX
HPN;WESTCHESTER COUNTY;NY
