	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	main city	latitude	longitude
Abilene, TX	1362,040003	1462,176712	1569,675437	1685,077432	1808,963741	1941,958128	2084,730217	2237,99886	2402,535761	2579,169358	2768,788995	2972,349403	3190,875501	3425,467563	3677,306751	3947,66107	4237,891744	4549,460077	4883,934805	5243	5408	5637	5993	6403,428707	Abilene, TX	32,45	-99,75
Akron, OH	10085,55651	10616,01828	11174,38031	11762,11005	12380,75214	13031,93244	13717,36234	14438,84323	15198,27126	15997,64231	16839,05722	17724,72735	18656,98034	19638,26628	20671,16412	21758,38844	22902,79661	24107,39628	25375,35329	26710	27278	28280	29466	30938,35867	Akron, OH	41,073056	-81,517778
Albany, GA	4166,567388	4204,030044	4241,829537	4279,968895	4318,451173	4357,279455	4396,456852	4435,986503	4475,871575	4516,115264	4556,720793	4597,691418	4639,030419	4680,74111	4722,826832	4765,290958	4808,136889	4851,368059	4894,987931	4939	4826	4879	5024	5068,769515	Albany, GA	31,582222	-84,165556
Albany, OR	1274,182671	1333,272226	1395,102029	1459,799156	1527,496579	1598,333435	1672,455312	1750,014553	1831,170564	1916,090141	2004,94782	2097,926228	2195,21646	2297,018476	2403,541507	2515,004488	2631,636507	2753,677275	2881,377619	3015	3018	3120	3288	3433,721522	Albany, OR	44,630278	-123,096111
Albany-Schenectady-Troy, NY	19731,96252	20467,99595	21231,48459	22023,45256	22844,96219	23697,11543	24581,05534	25497,9676	26449,08214	27435,67476	28459,06885	29520,63715	30621,80363	31764,04537	32948,89452	34177,94043	35452,83169	36775,27842	38147,0545	39570	40040	41023	42479	44006,55375	Albany, NY	42,6525	-73,757222
Albuquerque, NM	19399,5981	20051,98149	20726,3037	21423,30249	22143,74045	22888,4058	23658,11329	24453,70505	25276,05152	26126,05245	27004,63781	27912,76885	28851,43917	29821,67576	30824,54015	31861,12957	32932,57816	34040,05817	35184,78131	36368	37401	37905	38784	40045,82231	Albuquerque, NM	35,110833	-106,61
Alexandria, LA	2095,890272	2198,584642	2306,310828	2419,315378	2537,856921	2662,20676	2792,649489	2929,483646	3073,0224	3223,594261	3381,543837	3547,232623	3721,039822	3903,363222	4094,620098	4295,248173	4505,706617	4726,477097	4958,064883	5201	5425	5618	5701	5967,289772	Alexandria, LA	31,292778	-92,459167
Allentown-Bethlehem-Easton, PA-NJ	9489,604487	10057,50843	10659,3985	11297,3086	11973,39432	12689,94029	13449,36785	14254,24324	15107,28627	16011,37953	16969,57812	17985,11995	19061,43674	20202,16554	21411,16108	22692,50877	24050,53853	25489,83937	27015,27496	28632	29701	30680	31988	33794,22383	Allentown, PA	40,601667	-75,477222
Altoona, PA	1723,62403	1805,069683	1890,363852	1979,688389	2073,233739	2171,199347	2273,794081	2381,236679	2493,756216	2611,592589	2734,997032	2864,232652	2999,574986	3141,312592	3289,747663	3445,196672	3607,991045	3778,477869	3957,020633	4144	4169	4301	4527	4731,26052	Altoona, PA	40,5107	-78,3997
Amarillo, TX	3358,190992	3550,520315	3753,864666	3968,854895	4196,157981	4436,479102	4690,563823	4959,200409	5243,222271	5543,510549	5860,996848	6196,666129	6551,559762	6926,778758	7323,487186	7742,915781	8186,365768	8655,212891	9150,911688	9675	10077	10465	10761	11343,91621	Amarillo, TX	35,199167	-101,845278
Ames, IA	577,3526482	637,4137251	703,7228603	776,9300292	857,7528233	946,9834841	1045,496668	1154,258023	1274,333647	1406,900548	1553,258172	1714,841147	1893,233342	2090,183393	2307,621844	2547,680071	2812,711173	3105,313039	3428,353811	3785	4035	4287	4544	4972,16388	Ames, IA	42,034722	-93,62
Anchorage, AK	7077,995549	7567,499644	8090,857144	8650,409304	9248,659295	9888,283403	10572,143	11303,29736	12085,01731	12920,7999	13814,38403	14769,76716	15791,22322	16883,32174	18050,94823	19299,32611	20634,04002	22061,06085	23586,7724	25218	26626	27931	28616	30467,0274	Anchorage, AK	61,216667	-149,9
Ann Arbor, MI	7164,157046	7511,835034	7876,385906	8258,628504	8659,421413	9079,664884	9520,302854	9982,325074	10466,76933	10974,72376	11507,32932	12065,78233	12651,33718	13265,30913	13909,07726	14584,08759	15291,85631	16033,97319	16812,10514	17628	18265	18709	19310	20203,74459	Ann Arbor, MI	42,281389	-83,748333
Anniston-Oxford-Jacksonville, AL	2638,507689	2683,804682	2729,879318	2776,744948	2824,415151	2872,90374	2922,224764	2972,392514	3023,421527	3075,326589	3128,122739	3181,825275	3236,449758	3292,012015	3348,528146	3406,014526	3464,487813	3523,964949	3584,463168	3646	3734	3747	3770	3833,629692	Anniston, AL	33,663003	-85,826664
Appleton, WI	4329,268254	4514,036233	4706,689889	4907,565772	5117,014796	5335,402854	5563,111452	5800,538381	6048,098406	6306,223996	6575,366077	6855,994819	7148,60046	7453,694159	7771,808891	8103,500378	8449,348061	8809,956108	9185,954474	9578	9749	10076	10383	10807,99569	Appleton, WI	44,266667	-88,4
Asheville, NC	7349,524105	7604,385706	7868,085218	8140,929114	8423,234498	8715,329469	9017,553503	9330,257848	9653,805933	9988,57379	10334,95049	10693,3386	11064,15463	11447,82956	11844,8093	12255,55523	12680,54471	13120,27167	13575,24718	14046	14195	14351	15003	15505,82676	Asheville, NC	35,58	-82,555833
Athens-Clarke County, GA	3551,826793	3664,677989	3781,114773	3901,251072	4025,204426	4153,096116	4285,051273	4421,199004	4561,672519	4706,609259	4856,151033	5010,444156	5169,639592	5333,893099	5503,365387	5678,22227	5858,634832	6044,779591	6236,838676	6435	6538	6635	6839	7049,602221	Athens, GA	33,95	-83,383333
Atlanta-Sandy Springs-Roswell, GA	91506,96422	96769,48671	102334,6544	108219,8723	114443,5462	121025,1408	127985,2397	135345,6107	143129,2731	151360,5703	160065,2456	169270,5226	179005,1908	189299,6951	200186,2316	211698,8477	223873,5489	236748,4114	250363,7012	264762	271390	282505	294589	310609,352	Atlanta, GA	33,755	-84,39
Atlantic City-Hammonton, NJ	7939,69595	8134,229704	8333,52981	8537,71305	8746,899067	8961,210437	9180,772737	9405,714624	9636,167905	9872,267616	10114,1521	10361,9631	10615,84582	10875,94902	11142,42512	11415,43026	11695,12441	11981,67146	12275,23932	12576	12848	12862	13185	13500,32519	Atlantic City, NJ	39,377297	-74,451082
Auburn-Opelika, AL	1123,939846	1196,781234	1274,343397	1356,932285	1444,873674	1538,514453	1638,223996	1744,395612	1857,448101	1977,827406	2106,00837	2242,496611	2387,830514	2542,583359	2707,365577	2882,827161	3069,66023	3268,601759	3480,436484	3706	3871	4070	4175	4429,108926	Auburn, AL	32,597684	-85,480823
Augusta-Richmond County, GA-SC	6812,579024	7186,503425	7580,951544	7997,049875	8435,98674	8899,015685	9387,459062	9902,711801	10446,2454	11019,61211	11624,4494	12262,48461	12935,53988	13645,53737	14394,50473	15184,58093	16018,02232	16897,2091	17824,6521	18803	19440	20204	20828	21911,71164	Augusta, GA	33,466667	-81,966667
Austin-Round Rock, TX	9744,328951	10890,03636	12170,45243	13601,41577	15200,62727	16987,86899	18985,24896	21217,47454	23712,15816	26500,1588	29615,96375	33098,11519	36989,687	41338,81753	46199,30508	51631,27341	57701,91541	64486,32431	72068,42258	80542	87182	91479	98677	109058,5053	Austin, TX	30,25	-97,75
Bakersfield, CA	4889,729489	5368,2886	5893,684417	6470,50086	7103,77048	7799,018365	8562,310342	9400,305906	10320,31632	11330,36839	12439,27452	13656,70959	14993,29535	16460,6931	18071,70547	19840,38803	21782,17202	23913,99892	26254,46829	28824	30914	32264	34268	37322,84016	Bakersfield, CA	35,366667	-119,016667
Baltimore-Columbia-Towson, MD	40640,17377	43358,96402	46259,63883	49354,36611	52656,12781	56178,77432	59937,08265	63946,81835	68224,80167	72788,97815	77658,49383	82853,77563	88396,61701	94310,26938	100619,5397	107350,8943	114532,5704	122194,694	130369,4066	139091	145309	149819	157260	167120,8665	Baltimore, MD	39,283333	-76,616667
Bangor, ME	2560,423471	2660,393021	2764,265797	2872,194196	2984,336568	3100,857444	3221,927777	3347,725199	3478,434273	3614,246772	3755,361954	3901,986857	4054,336605	4212,634719	4377,113448	4548,014108	4725,587439	4910,093969	5101,8044	5301	5378	5538	5709	5923,52701	Bangor, ME	44,803611	-68,770278
Barnstable Town, MA	4149,810495	4296,634904	4448,654107	4606,0519	4769,018583	4937,751189	5112,453721	5293,337403	5480,620928	5674,53073	5875,301254	6083,175237	6298,404008	6521,247787	6751,975999	6990,867604	7238,211431	7494,306528	7759,462523	8034	8186	8319	8595	8888,707943	Barnstable, MA	41,7	-70,3
Baton Rouge, LA	4919,8127	5486,872995	6119,292969	6824,606015	7611,213826	8488,486483	9466,874065	10558,03113	11774,95556	13132,14336	14645,76137	16333,83981	18216,48709	20316,12933	22657,77748	25269,32527	28181,88148	31430,14052	35052,79565	39093	43055	45556	47709	52639,65534	Baton Rouge, LA	30,448611	-91,125833
Battle Creek, MI	1378,868175	1467,658416	1562,166178	1662,759631	1769,830656	1883,796366	2005,100735	2134,216324	2271,646127	2417,925526	2573,624377	2739,349232	2915,745702	3103,50097	3303,34647	3516,060734	3742,472428	3983,46358	4239,973011	4513	4837	4773	5071	5377,784813	Battle Creek, MI	42,312222	-85,204167
Bay City, MI	1410,949625	1462,773604	1516,501071	1572,20194	1629,948694	1689,816478	1751,883197	1816,229619	1882,939475	1952,099574	2023,799914	2098,133798	2175,197954	2255,092666	2337,921899	2423,793439	2512,819027	2605,114513	2700,8	2800	2847	2916	3003	3109,392	Bay City, MI	43,59505	-83,888639
Beaumont-Port Arthur, TX	596,1431127	711,9128125	850,1647371	1015,264886	1212,427125	1447,877844	1729,052581	2064,830844	2465,816516	2944,672737	3516,521798	4199,422706	5014,94149	5988,832253	7151,850491	8540,724349	10199,3145	12179,99926	14545,3287	17370	19128	22689	23548	27377,3241	Beaumont, TX	30,08	-94,126667
Beckley, WV	248,3084404	285,7748797	328,8945063	378,5203107	435,6339885	501,3653604	577,0147216	664,0785647	764,2791832	879,5987416	1012,318487	1165,063876	1340,856511	1543,173915	1776,018324	2043,995856	2352,407631	2707,354638	3115,858426	3586	3945	4304	4610	5214,392821	Beckley, WV	37,779722	-81,183056
Bellingham, WA	1089,257494	1211,012991	1346,378126	1496,874164	1664,192413	1850,213235	2057,027172	2286,958447	2542,59108	2826,797928	3142,772972	3494,067212	3884,628572	4318,846269	4801,600139	5338,315482	5935,024024	6598,431713	7335,994074	8156	9129	9341	9888	10882,14156	Bellingham, WA	48,750178	-122,474975
Bend-Redmond, OR	3511,980377	3608,546921	3707,76869	3809,718693	3914,471946	4022,105528	4132,698638	4246,332651	4363,091183	4483,060144	4606,32781	4732,984884	4863,124562	4996,842602	5134,237397	5275,410043	5420,464417	5569,507254	5722,64822	5880	5862	5938	6197	6362,83486	Bend, OR	44,05	-121,3
Billings, MT	566,0256106	644,8545656	734,6618297	836,9763244	953,5398999	1086,33699	1237,628394	1409,98977	1606,355479	1830,068543	2084,937559	2375,301539	2706,103776	3082,976004	3512,334273	4001,488183	4558,76532	5193,653034	5916,959955	6741	7222	8241	8505	9544,676693	Billings, MT	45,786667	-108,537222
Binghamton, NY	5571,906029	5677,083665	5784,246679	5893,432546	6004,679451	6118,0263	6233,512732	6351,179134	6471,066656	6593,217225	6717,67356	6844,479185	6973,678445	7105,316526	7239,439462	7376,094159	7515,328407	7657,190899	7801,731247	7949	8156	8178	8246	8398,771183	Binghampton, NY	42,102222	-75,911667
Birmingham-Hoover, AL	12728,88625	13698,77642	14742,56833	15865,89302	17074,81054	18375,84274	19776,00839	21282,86105	22904,52985	24649,76332	26527,97659	28549,3022	30724,64472	33065,73964	35585,21661	38296,66764	41214,72039	44355,11707	47734,7994	51372	53399	55928	58992	63168,70594	Birmingham, AL	33,653333	-86,808889
Bismarck, ND	406,4520932	463,1752825	527,8145836	601,4747445	685,4146881	781,0690292	890,0725923	1014,288354	1155,83928	1317,144613	1500,961217	1710,430693	1949,133079	2221,148026	2531,124532	2884,360396	3286,892757	3745,601282	4268,325742	4864	5179	5569	6153	6906,532835	Bismarck, ND	46,813343	-100,779004
Blacksburg-Christiansburg-Radford, VA	1662,897198	1763,602175	1870,40584	1983,677531	2103,808949	2231,215521	2366,337829	2509,643137	2661,627009	2822,815016	2993,764562	3175,066804	3367,348702	3571,275182	3787,55144	4016,925379	4260,190192	4518,187112	4791,808312	5082	5153	5459	5682	6006,452808	Blacksburg, VA	37,23	-80,417778
Bloomington, IL	3634,968904	3826,266491	4027,6315	4239,59375	4462,710942	4697,570126	4944,789251	5205,018781	5478,943417	5767,28389	6070,798864	6390,286926	6726,588694	7080,589022	7453,219333	7845,460068	8258,343264	8692,955273	9150,439617	9632	9896	10141	10626	11157,25629	Bloomington, IL	40,484167	-88,993611
Bloomington, IN	3009,891138	3117,222942	3228,382165	3343,505293	3462,733676	3586,213707	3714,096998	3846,540569	3983,707037	4125,76482	4272,888341	4425,258241	4583,061606	4746,49219	4915,75066	5091,044836	5272,589948	5460,608904	5655,332559	5857	5893	6030	6268	6483,818938	Bloomington, IN	39,162222	-86,529167
Bloomsburg-Berwick, PA	847,5560395	907,5622824	971,816916	1040,620723	1114,29578	1193,186969	1277,663586	1368,121075	1464,982878	1568,702413	1679,765203	1798,691143	1926,036938	2062,398706	2208,414771	2364,768649	2532,192247	2711,469293	2903,439001	3109	3281	3433	3538	3771,92564	Bloomsburg, PA	41,001	-76,454
Boise City, ID	10780,1255	11272,64579	11787,66824	12326,22095	12889,37894	13478,26639	14094,05881	14737,98544	15411,33166	16115,44159	16851,72076	17621,63892	18426,73294	19268,60994	20148,95046	21069,5118	22032,13157	23038,73133	24091,32042	25192	26086	26517	27455	28654,55374	Boise, ID	43,616667	-116,2
Boston-Cambridge-Newton, MA-NH	87885,40669	93713,55245	99928,19335	106554,9599	113621,1824	121156,0035	129190,4983	137757,803	146893,2509	156634,5186	167021,7813	178097,8783	189908,4898	202502,3253	215931,3247	230250,8719	245520,024	261801,7543	279163,2121	297676	312944	323334	336232	357142,6266	Boston, MA	42,358056	-71,063611
Boulder, CO	3642,115999	3954,919579	4294,588331	4663,429577	5063,948798	5498,866661	5971,137499	6483,969375	7040,84588	7645,549791	8302,188773	9015,223273	9789,496829	10630,26896	11543,25092	12534,64444	13611,18391	14780,18211	16049,57987	17428	18466	19330	20332	21940,1041	Boulder, CO	40,019444	-105,292778
Bowling Green, KY	1374,344586	1467,383832	1566,721573	1672,784198	1786,026962	1906,935943	2036,030119	2173,863607	2321,028032	2478,155074	2645,919172	2825,040426	3016,287682	3220,481838	3438,499361	3671,276055	3919,811073	4185,17121	4468,495479	4771	5048	5212	5401	5743,449574	Bowling Green, KY	36,981667	-86,444444
Bremerton-Silverdale, WA	5534,282279	5668,140077	5805,235495	5945,646844	6089,454324	6236,740079	6387,588237	6542,084963	6700,318505	6862,379244	7028,359749	7198,354829	7372,461583	7550,77946	7733,410316	7920,458467	8112,030757	8308,236609	8509,188095	8715	8892	9106	9132	9347,659703	Bremerton, WA	47,57	-122,6525
