	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	main city	latitude	longitude
Akron, OH	658	662	665	669	673	677	680	684	688	691	695	696	697	697	698	699	700	701	701	702	703	704	705	705	Akron, OH	41,073056	-81,517778
Albany–Schenectady–Troy, NY	810	812	813	815	816	818	820	821	823	824	826	831	835	840	844	849	853	858	862	867	871	876	880	885	Albany, GA	31,582222	-84,165556
Albuquerque, NM	599	612	625	638	651	665	678	691	704	717	730	746	761	777	793	809	824	840	856	871	887	903	918	934	Albuquerque, NM	35,110833	-106,61
Allentown–Bethlehem–Easton, PA-NJ	687	692	698	703	708	714	719	724	729	735	740	748	756	764	772	781	789	797	805	813	821	829	837	845	Allentown, PA	40,601667	-75,477222
Anchorage, AK	266	271	277	282	288	293	298	304	309	315	320	326	332	338	344	351	357	363	369	375	381	387	393	399	Anchorage, AK	61,216667	-149,9
Ann Arbor, MI	283	287	291	295	299	303	307	311	315	319	323	325	327	330	332	334	336	338	341	343	345	347	349	352	Ann Arbor, MI	42,281389	-83,748333
Asheville, NC	308	314	320	326	332	339	345	351	357	363	369	375	380	386	391	397	403	408	414	419	425	431	436	442	Asheville, NC	35,58	-82,555833
Atlanta-Sandy Springs-Marietta, GA	3069	3187	3305	3423	3541	3659	3776	3894	4012	4130	4248	4350	4452	4554	4656	4759	4861	4963	5065	5167	5269	5371	5473	5575	Atlanta, GA	33,755	-84,39
Atlantic City-Hammonton, NJ	224	227	230	233	236	239	241	244	247	250	253	255	257	260	262	264	266	268	271	273	275	277	279	282	Atlantic City, NJ	39,377297	-74,451082
Augusta-Richmond County, GA-SC	436	442	449	455	462	468	474	481	487	494	500	506	511	517	523	529	534	540	546	551	557	563	568	574	Augusta, GA	33,466667	-81,966667
Austin-Round Rock, TX	846	886	927	967	1008	1048	1088	1129	1169	1210	1250	1297	1343	1390	1436	1483	1530	1576	1623	1669	1716	1763	1809	1856	Austin, TX	30,25	-97,75
Bakersfield, CA	545	557	568	580	592	604	615	627	639	650	662	680	698	715	733	751	769	787	804	822	840	858	876	893	Bakersfield, CA	35,366667	-119,016667
Baltimore-Towson, MD	2382	2399	2416	2433	2450	2468	2485	2502	2519	2536	2553	2569	2584	2600	2616	2632	2647	2663	2679	2694	2710	2726	2741	2757	Baltimore, MD	39,283333	-76,616667
Baton Rouge, LA	624	632	640	649	657	665	673	681	690	698	706	716	725	735	744	754	764	773	783	792	802	812	821	831	Baton Rouge, TA	30,448611	-91,125833
Beaumont-Port Arthur, TX	361	363	366	368	371	373	375	378	380	383	385	385	386	386	387	387	387	388	388	389	389	389	390	390	Beaumont, TX	30,08	-94,126667
Binghampton, NY	264	263	262	260	259	258	257	256	254	253	252	252	252	252	252	252	252	252	252	252	252	252	252	252	Binghampton, NY	42,102222	-75,911667
Birmingham-Hoover, AL	957	967	976	986	995	1005	1014	1024	1033	1043	1052	1060	1067	1075	1082	1090	1098	1105	1113	1120	1128	1136	1143	1151	Birmingham, AL	33,653333	-86,808889
Boise City-Nampa, ID	320	335	349	364	378	393	407	422	436	451	465	480	495	511	526	541	556	571	587	602	617	632	647	663	Boise, ID	43,616667	-116,2
Boston-Cambridge-Quincy, MA-NH	4134	4160	4185	4211	4237	4263	4288	4314	4340	4365	4391	4407	4423	4439	4455	4472	4488	4504	4520	4536	4552	4568	4584	4600	Boston, MA	42,358056	-71,063611
Boulder, CO	209	215	221	227	233	240	246	252	258	264	270	273	275	278	280	283	285	288	290	293	295	298	300	303	Boulder, CO	40,019444	-105,292778
Bremerton-Silverdale, WA	190	194	198	203	207	211	215	219	224	228	232	234	236	238	240	242	243	245	247	249	251	253	255	257	Bremerton, WA	47,57	-122,6525
Bridgeport-Stamford-Norwalk, CT	828	834	839	845	850	856	861	867	872	878	883	886	890	893	897	900	903	907	910	914	917	920	924	927	Bridgeport, CT	41,186389	-73,195556
Brownsville-Harlingen, TX	260	268	275	283	290	298	305	313	320	328	335	342	349	356	363	371	378	385	392	399	406	413	420	427	Brownsville, TX	25,930278	-97,484444
Buffalo-Niagara Falls, NY	1189	1187	1185	1183	1181	1180	1178	1176	1174	1172	1170	1167	1163	1160	1156	1153	1150	1146	1143	1139	1136	1133	1129	1126	Buffalo, NY	42,904722	-78,849444
Canton-Massillon, OH	394	395	397	398	399	401	402	403	404	406	407	407	406	406	406	406	405	405	405	404	404	404	403	403	Canton, OH	40,805	-81,375833
Cape Coral-Fort Myers, FL	335	346	356	367	377	388	399	409	420	430	441	459	477	494	512	530	548	566	583	601	619	637	655	672	Cape Coral, FL	26,639722	-81,9825
Cedar Rapids, IA	211	214	216	219	221	224	227	229	232	234	237	239	241	243	245	248	250	252	254	256	258	260	262	264	Cedar Rapids, IA	41,983056	-91,668611
Charleston, WV	308	308	308	309	309	309	309	309	310	310	310	309	309	308	308	307	306	306	305	305	304	303	303	302	Charleston, WV	38,347222	-81,633333
Charleston-North Charleston-Summerville, SC	507	511	515	520	524	528	532	536	541	545	549	561	572	584	595	607	619	630	642	653	665	677	688	700	Charleston, SC	32,783333	-79,933333
Charlotte-Gastonia-Concord, NC-SC	1025	1056	1086	1117	1147	1178	1208	1239	1269	1300	1330	1373	1416	1458	1501	1544	1587	1630	1672	1715	1758	1801	1844	1886	Charlotte, NC	35,226944	-80,843333
Chattanooga, TN-GA	433	437	442	446	451	455	459	464	468	473	477	482	487	492	497	503	508	513	518	523	528	533	538	543	Chattanooga, TN	35,045556	-85,267222
Chicago-Joliet-Naperville-Joliet, IL-IN-WI	8182	8274	8365	8457	8548	8640	8732	8823	8915	9006	9098	9134	9171	9207	9243	9280	9316	9352	9388	9425	9461	9497	9534	9570	Chicago, IL	41,881944	-87,627778
Cincinnati-Middletown, OH-KY-IN	1845	1862	1878	1895	1911	1928	1944	1961	1977	1994	2010	2022	2034	2046	2058	2070	2082	2094	2106	2118	2130	2142	2154	2166	Cincinnati, OH	39,1	-84,516667
Clarksville, TN-KY	189	193	198	202	206	211	215	219	223	228	232	236	240	245	249	253	257	261	266	270	274	278	282	287	Clarksville, TN	36,529722	-87,359167
